function,job_id,http_upload,final_status,elapsed_s
f0,4fba0978-8dd5-4f2f-9672-85a9c5f314bb,201,finished:dl406,193
f1,25ba0033-1653-441c-969c-f27ecab6b3c6,201,finished:dl200,40
f2,1f360ea7-3a5e-456c-b41c-6e315afda675,201,finished:dl406,163
f3,8c2a76dc-bf1f-4ec6-80e0-5dd1545e2bf1,201,finished:dl406,1145
f4,c0d59514-a928-485c-94b4-589e6e83075e,201,finished:dl406,356
f5,909cb52a-9ea4-4e4b-ac15-458c4f845367,201,finished:dl406,301
f6,9dedf1b2-8486-4d87-b981-71830e06b31f,201,finished:dl406,971
f7,c1720fed-b6a1-4c7c-b5b5-a84a0b68ceb6,201,finished:dl406,576
f8,7d636fa1-c3ef-468c-aa3a-4a09c0136179,201,finished:dl200,63
f9,c8bb92bc-40b5-48da-b0a4-63816b704765,201,finished:dl406,513
f10,b54e7c26-1727-4b3d-b60e-2990d76809bf,201,finished:dl406,175
f11,a590b163-7aa9-4352-932f-5ef635c36f7e,201,finished:dl406,256
f12,cae86fa4-ecca-4e46-81a4-4a42fd5ba1b4,201,finished:dl406,504
f13,374453c8-3e72-43b7-9fd6-b082ca6628cf,201,finished:dl406,290
f14,c001ed02-05ee-41a0-97ad-2a53afa8a09d,201,finished:dl406,99
f15,dead40b4-4aff-4993-8fb1-5651739b082b,201,finished:dl406,646
f16,ba69441f-0414-482a-8ced-caee1af49eaa,201,finished:dl406,166
f17,a758f38c-e1e6-4db6-82f1-48a6b98ae2d9,201,finished:dl406,51
f18,5523495e-3036-48a2-a4c7-224ddd99a330,201,finished:dl406,160
f19,01845aa1-7358-4fc7-a1cf-4e78700aa72e,201,finished:dl406,988
f20,73f93422-a36a-4658-9c01-115315f9f792,201,finished:dl406,181
f21,9d286dd9-d7e7-4a8f-a7f6-660436dac796,201,finished:dl406,227
f22,8723be25-bfa5-431d-af92-8dc000ff0f1e,201,finished:dl406,919
f23,58a5cdef-dda8-4d16-a9c5-45a87e8951cd,201,finished:dl406,115
f24,a9220368-d28d-4454-8f9b-f8f3276af3fc,201,finished:dl406,229
f25,6e842d36-b855-4db2-a826-93af84a56d72,201,finished:dl406,247
f26,d7e1ff92-6bb0-4260-937a-46afd8801251,201,finished:dl406,461
f27,b696e0b0-39db-4bed-85b3-f6ef0e31cfe1,201,finished:dl406,166
f28,31751924-b8df-4107-afa4-b8863dea23a7,201,finished:dl200,15
f29,f879ecbc-8ce0-4ee5-a264-482d1ad47443,201,finished:dl406,323
f30,c8ea1f52-a2cc-497c-a426-9e24c14ab8fa,201,finished:dl406,133
f31,0cdd157b-661e-494c-93b9-e063b71eb671,201,finished:dl200,148
f32,115b0c1d-e557-4b96-a487-17e41f9a4e30,201,finished:dl406,428
f33,773680b3-ca98-4005-b5bc-083c5ddd9b0c,201,finished:dl406,558
f34,6ec669a6-2332-4096-8c8f-7b1582763e6a,201,finished:dl406,491
f35,a188a6ae-a99c-41f4-b987-b3c02985b30b,201,finished:dl406,423
f36,fe08ecc3-efd0-4a92-b0a4-4bf65fba1cb6,201,finished:dl406,154
f37,02eeda2d-7c4f-4815-a8b0-561057f706c3,201,finished:dl406,720
f38,8857e7fe-426b-406a-848e-50fcc2e4cb73,201,finished:dl406,250
f39,fc3208f4-398b-47af-beeb-3b7e250edc2f,201,finished:dl200,43
f40,75891bb6-82a6-4614-a9b8-4c63ebbced2c,201,finished:dl406,84
f41,a65adf1a-1981-45bd-a929-cab68af7a118,201,finished:dl200,79
f42,487a0fdc-8d71-43b6-bd3e-9c453f660aa5,201,finished:dl406,594
f43,b125020c-d576-4223-aee7-aa4c8a179000,201,finished:dl406,500
f44,21d9c1fb-e368-4a90-b5e4-15844d179055,201,finished:dl406,534
f45,f4f41a3f-2b56-4c35-b21a-030ce2c07c11,201,finished:dl406,341
f46,737d249c-d584-4543-b1fa-d0f58fe1926f,201,finished:dl406,570
f47,d23791f4-ac65-4f66-86e0-5270b45a65b2,201,finished:dl406,217
f48,08b255ec-2e27-4968-8e8d-f20ea26df1f1,201,finished:dl406,232
f49,4c8caca4-cbe9-4815-a9b0-5bbfed67172e,201,finished:dl406,187
f50,99311eee-6914-4e97-afd3-cb5a8faeda24,201,finished:dl406,266
f51,b44fba72-b9cf-476f-815e-81f52815410a,201,finished:dl406,144
f52,28495e7c-4338-4904-a720-9dd79af91b41,201,finished:dl406,227
f53,77cea972-93c2-4a68-b918-847009dfd6cc,201,finished:dl406,190
f54,1c93a5e8-7415-4a67-a3a3-479a2b04f4e8,201,finished:dl406,540
f55,18c51ca2-1b7f-451e-a26b-9ec058aeb7c8,201,finished:dl406,190
f56,414eb251-cefb-4229-a195-d131b9d9394c,201,finished:dl406,75
f57,2ba78562-f0ec-4bd1-9920-c2651f665104,201,finished:dl406,73
f58,1ed47bd9-b6e3-4e8b-a557-c0c327c1a371,201,finished:dl406,147
f59,6c2354fc-56f7-49f5-a099-360fe537e2d7,201,finished:dl406,230
f60,c00b9aa4-33ba-4ebb-9ef1-1c3f83ed2435,201,finished:dl406,524
f61,f01fd505-088d-41a0-9f37-e7974fcad017,201,finished:dl406,202
f62,b369f868-08dd-42b2-a96c-af9f3c63b819,201,finished:dl406,603
f63,11066040-18c0-40c5-acb6-96baa95f5ee2,201,finished:dl406,383
f64,b4642fdf-6c02-4049-ba6a-22c336b4e165,201,finished:dl406,208
f65,f9ed480c-0b51-4822-b5b5-cd0f8b41d774,201,finished:dl406,160
f66,f8468789-0fbf-4c6b-a4d3-8f682740049f,201,finished:dl406,175
f67,40fd0ba2-e0bf-4cd7-b4f4-b717304cccb2,201,finished:dl200,79
f68,e6336c1a-99eb-4e32-afbf-249a2effadb9,201,finished:dl406,268
f69,de3070d9-b974-4147-b233-77741044d7e5,201,finished:dl406,295
f70,4aedbedf-ff5c-4b52-b442-cf4f76f19e8a,201,finished:dl406,169
f71,f5fc06c0-d788-42fe-a54a-536f51756d1d,201,finished:dl406,235
f72,84d379b7-ce9b-4528-a29e-b8e4c071ea48,201,finished:dl406,187
f73,679b1be4-b062-48d7-b294-bf7bd88d6c83,201,finished:dl406,190
f74,631b5b54-bea5-4f25-b2e9-86899ca09a3b,201,finished:dl406,221
f75,5445d39a-aa2c-4681-aba4-95df40d7c50b,201,finished:dl406,247
f76,75bad538-36b9-4e5e-96d2-582e7ed94d6b,201,finished:dl406,145
f77,18589cc6-d564-4d32-800a-798522866f12,201,finished:dl406,268
f78,0eecc170-6a10-4662-b48b-201fbf173086,201,finished:dl406,432
f79,4490d18a-9adc-4716-8883-91b7ef75db4d,201,finished:dl406,124
f80,16f003b8-7f0f-4ff1-8090-d0083dce5577,201,finished:dl406,84
f81,0d8c4fb4-6a1b-4272-a861-995936ee3037,201,finished:dl200,27
f82,15236377-d5ed-44f1-b51b-bbf483aa349c,201,finished:dl406,546
f83,104abc18-7a0e-4bba-85b5-e972eb9eb05a,201,finished:dl406,157
f84,e9058c9c-e4c1-46cd-9402-819f2f99b578,201,finished:dl406,75
