function,job_id,http_upload,final_status,elapsed_s
f77,620b7f37-a6c4-43fc-a542-115701ff5fc7,201,finished:dl200,42
f78,00a50375-54cf-4d4d-801f-3272d77407d5,201,finished:dl406,229
f79,4c43fc2e-9edc-4ac0-8ce0-dfebed11721d,201,finished:dl406,58
f80,42878282-2234-4c06-9a61-e4ef5a81447b,201,finished:dl406,60
f81,05325242-3f90-43b2-b17a-d3952c8a21f5,201,finished:dl200,18
f82,5b4b96fb-62fd-4e9e-a30d-8b98c28b7cb1,201,finished:dl406,320
f83,b3cd598c-4904-4cba-bf11-e6b385ddc4ea,201,finished:dl406,124
f84,e96eba2c-01f0-4a87-937c-5d678f6da3b4,201,finished:dl200,21
f85,560be848-9b47-4535-9430-12d2ea381a4f,201,finished:dl200,96
f86,c5982bb2-79a9-4409-bf03-2e50d366b50c,201,finished:dl406,91
f87,a5708485-b2a6-447c-805d-1852e53d89d2,201,finished:dl200,51
f88,eee7f6aa-133c-491c-9c9d-bf0287ca173a,201,finished:dl406,1574
f89,1da155fd-b7a6-4898-af90-c50abb8f107a,201,finished:dl200,18
f90,b237d8d1-a224-4f4b-939a-e3c9d1ce7002,201,finished:dl406,646
f91,9541cedb-fc44-4c48-8373-1a9e9dbb778e,201,finished:dl406,84
f92,6f6d4e9c-57b0-428a-85d5-6724758d57c8,201,finished:dl200,410
f93,696b2af6-d5e4-4981-b44e-b67a43f9e010,201,finished:dl406,766
f94,230fb1c9-c19b-41af-bba2-d5f8f22c05ce,201,finished:dl406,347
