function,job_id,http_upload,final_status,elapsed_s
f0,be17822f-87ac-45a3-8138-5aabebc88478,201,finished:dl406,642
f1,fc670a7a-b821-4ec2-ae8c-6907193a07b6,201,finished:dl200,27
f2,d614b83a-423d-41c1-9862-d7a3e5273c85,201,finished:dl200,528
f3,8e5f13fb-011c-4ff4-9c35-432bc714fed1,201,timeout,1800
f4,03cd5954-c66b-4192-a53b-ff61a24081a9,201,finished:dl406,612
f5,5d21c00b-8b3e-46ab-a55a-6c157bf4bb59,201,finished:dl406,299
f6,b1b02410-4aec-4b3d-8320-10a2be0b3119,201,finished:dl406,1206
f7,796884c4-e7b5-4dcf-b0f7-d0ac3bc1971b,201,finished:dl406,1546
f8,f1fbe0c8-2278-4da3-9093-b043996be154,201,finished:dl406,109
f9,f7e6fa92-b200-4af0-ae45-291493f10e6f,201,finished:dl406,603
f10,16094fa1-4830-40a7-802a-d9e3ce40c1a0,201,finished:dl200,33
f11,d5aec8ed-f451-4e77-b2fe-b99e6c0783b3,201,finished:dl200,106
f12,b354ed16-7c19-4c5e-843d-29d142798752,201,finished:dl406,615
f13,19933a50-0032-48f7-b007-e050f948fa0f,201,finished:dl406,495
f14,65ada871-cb3a-44bf-aac4-e41291287bb4,201,finished:dl200,27
f15,714db91c-c0c9-4ccd-af60-b1b7954134c3,201,finished:dl406,730
f16,2a45037e-7057-450d-9b80-ee288d674197,201,finished:dl406,1061
f17,d08021ff-1c2e-4abd-9ebd-01e1fa1c76e3,201,finished:dl200,9
f18,988ad27e-8189-45ce-8d28-c936b32cd069,201,finished:dl200,64
f19,dcbefed9-c9a2-4cf9-9889-955ec217c4db,201,finished:dl406,621
f20,fdf61106-a04d-49c3-9985-42aef70cf184,201,finished:dl200,154
f21,dcae22de-6365-4934-b6ed-c8e470570077,201,finished:dl200,533
f22,325420f4-c537-407d-98cc-896246f1576d,201,finished:dl406,1644
f23,b956a0f1-5357-4332-8afc-5ed602fc8c27,201,finished:dl406,720
f24,4d4720e0-3b2a-4ebe-bbcd-052078eb800d,201,finished:dl200,365
f25,2570651f-dc46-4d39-83ad-5e8023601643,201,finished:dl200,106
f26,fe9f2ee9-85b3-4ef5-bc7e-6c6d0e8ed63f,201,finished:dl406,1351
f27,30c1d727-20ba-403b-93a1-835e3e4159df,201,finished:dl406,280
f28,31e328ab-f616-43b5-85ee-ce7dab80f39a,201,finished:dl200,9
f29,f70c48fa-d569-4e83-8dd6-0c31981c39e5,201,finished:dl200,260
f30,002232dc-3be4-4ba9-9137-fb8a0de3a6b0,201,finished:dl200,102
f31,c44475a1-54fd-41d5-ad26-de9053ffb5af,201,finished:dl406,603
f32,9b38a932-db31-449e-969e-dab6871eb907,201,finished:dl406,826
f33,71f67814-3652-464f-b1e1-901276506ccc,201,finished:dl406,166
f34,50bde8a2-6796-4e63-8ca0-1027eddcaa46,201,finished:dl406,549
f35,3d504359-be5c-4109-b5ac-f7ce7d5574a8,201,finished:dl406,567
f36,4fd538b6-4e04-4a65-83f6-b1aed6d36b3b,201,finished:dl200,33
f37,09a05b9d-57f7-4d94-907c-951341e72e96,201,finished:dl200,287
