function,job_id,http_upload,final_status,elapsed_s
pf1,e1a42d3c-1c21-4182-9e90-a5d9d4354111,201,finished:dl200,15
pf2,a95a2d48-07bd-459c-b3eb-cc8d818504e9,201,finished:dl200,16
pf3,c749803d-d678-41f0-b209-4481a64989d4,201,finished:dl200,24
pf4,0ad2a6e2-a5a7-43d4-a8c4-799857e4374b,201,finished:dl200,18
pf5,9968ff27-6fc0-493f-928f-fb03398851a2,201,finished:dl200,25
pf6,69ebf7ef-7874-4cb3-900e-c2d85564bfdb,201,finished:dl200,14
pf7,3704d48c-d3ed-4bc6-8785-b4d0c065c770,201,finished:dl200,89
pf8,ff4d107c-bf6a-4c55-abba-a931ead83ec5,201,finished:dl406,170
pf9,ec6ac6fe-08de-4adc-9f66-e78ab69285d2,201,finished:dl406,96
pf10,42440e81-9f78-4730-a67f-aa7030e84dfd,201,finished:dl406,115
pf11,ba83d330-5360-4a15-9fb3-002baa81e9d1,201,finished:dl200,24
pf12,354409fc-0823-47af-b89c-7bcba764c4a9,201,finished:dl406,142
pf13,e82b3abb-fb4d-4ecc-9c03-2cdb04119689,201,finished:dl406,41
pf14,5e1a9486-111f-41c7-b279-f1a1360378db,201,finished:dl406,184
