function,job_id,http_upload,final_status,elapsed_s
f0,86a7cfaa-5151-46dc-8e1b-834535e9cbcd,201,finished:dl406,193
f1,72bed46d-8bee-4d52-a8ed-4043aca6c853,201,finished:dl200,33
f2,14941e44-378e-462f-8474-606965a456cb,201,finished:dl200,67
f3,86c7996f-4905-4a30-b61d-39d87f53b869,201,finished:dl406,1128
f4,b5683e22-170d-477c-a7ea-6c4089592ba9,201,finished:dl406,429
f5,314cab15-a188-44a0-9299-88ca862c75cb,201,finished:dl406,762
f6,a1a48fda-27cf-4778-8632-18e4f382733c,201,finished:dl406,872
f7,20531544-2fa8-48bb-b1ae-08c18dca1015,201,finished:dl406,365
f8,567bb1ad-ffb9-491d-bfd2-5d679ae6d255,201,finished:dl406,169
f9,04dd0e7b-4b22-4657-9ed6-76aff54bbe7d,201,finished:dl200,594
f10,7017d11d-ed23-45ec-bb04-f2ed0e8c50fd,201,finished:dl406,105
f11,0fe0c7fb-9a86-4e89-bc1b-109b17587c85,201,finished:dl200,181
f12,df275f66-13d9-401a-9610-78daf44b0edf,201,finished:dl200,808
f13,cd8801cd-9e64-4d0d-a743-449d8a884832,201,finished:dl406,175
f14,76d8bd2b-fc1a-411e-8b83-545eb28ff639,201,finished:dl200,45
f15,31ecba63-7442-4bb1-93f7-e1ac9ef629ce,201,finished:dl406,640
f16,e03d4106-3b55-4f84-bc78-40791c12127a,201,finished:dl406,202
f17,81f66f53-6ad0-4130-8385-ba700a54be2f,201,finished:dl200,24
f18,94e69085-73b1-4589-8765-7c3de161e826,201,finished:dl406,239
f19,8eaf709f-13e2-4725-8c4b-e8fb3a68edb9,201,finished:dl200,726
f20,f495db4e-4e04-45c7-a496-835e796ba026,201,finished:dl406,174
f21,c80638cd-bd04-4bb2-bf9f-2a32db06280b,201,finished:dl406,209
f22,df36e1d1-2278-44fb-a7f2-f15d15690b90,201,finished:dl406,1200
f23,caa7c34a-fd37-48a1-8b9e-bfd1734229cf,201,finished:dl406,112
f24,3d7ae72a-43d2-4a01-b5b3-d45880eadea6,201,finished:dl406,193
f25,c070e727-9ca0-4261-bdb4-f1747a674827,201,finished:dl406,120
f26,954f81c0-1643-4429-831a-6485a08ad561,201,finished:dl406,332
f27,b67917c5-a6f3-4f46-a89e-8ffcacf3194c,201,finished:dl406,157
f28,34c82526-f686-440f-9568-05fb04799079,201,finished:dl200,18
f29,fdf4051a-49c2-4cb0-88f4-b4796cc92aa4,201,finished:dl406,250
f30,36b40e54-176c-47f4-a86c-584b6089bff4,201,finished:dl200,66
f31,9119e9bf-4221-4b64-8c77-a508b739dc91,201,finished:dl200,87
f32,2eba90bb-262d-47a4-8f21-9e5f3581ced1,201,finished:dl200,124
f33,9e53395b-f869-4180-a17a-66f22d1cf464,201,finished:dl200,482
f34,bcef3340-f7de-4544-9527-47767897f2b6,201,finished:dl406,320
